EDO29706	SINLEJ600102
EDO29706	SINLEJ600352
EDO29720	SINLEJ001822
EDO29720	SINLEJ006117
EDO29720	SINLEJ017673
EDO29722	SINLEJ001524
EDO29728	SINLEJ007951
EDO29737	SINLEJ000341
EDO29737	SINLEJ013459
EDO29737	SINLEJ013461
EDO29742	SINLEJ016265
EDO29742	SINLEJ002962
EDO29743	SINLEJ000359
EDO29744	SINLEJ012706
EDO29744	SINLEJ005847
EDO29747	SINLEJ010951
EDO29751	SINLEJ017413
EDO29752	SINLEJ004905
EDO29759	SINLEJ010603
EDO29762	SINLEJ014782
EDO29763	SINLEJ016418
EDO29763	SINLEJ014195
EDO29764	SINLEJ016249
EDO29765	SINLEJ013551
EDO29765	SINLEJ015029
EDO29765	SINLEJ013644
EDO29765	SINLEJ012770
EDO29770	SINLEJ011971
EDO29784	SINLEJ600375
EDO29784	SINLEJ004685
EDO29784	SINLEJ008661
EDO29786	SINLEJ009877
EDO29788	SINLEJ006204
EDO29788	SINLEJ006205
EDO29788	SINLEJ007435
EDO29791	SINLEJ001894
EDO29802	SINLEJ011734
EDO29819	SINLEJ004735
EDO29819	SINLEJ015536
EDO29819	SINLEJ016744
EDO29842	SINLEJ013607
EDO29842	SINLEJ012673
EDO29843	SINLEJ004098
EDO29850	SINLEJ013960
EDO29851	SINLEJ008698
EDO29851	SINLEJ014056
EDO29851	SINLEJ014057
EDO29851	SINLEJ007928
EDO29852	SINLEJ017841
EDO29852	SINLEJ003680
EDO29852	SINLEJ015352
EDO29852	SINLEJ007690
EDO29853	SINLEJ005333
EDO29853	SINLEJ011597
EDO29859	SINLEJ017057
EDO29859	SINLEJ019013
EDO29859	SINLEJ010996
EDO29863	SINLEJ010170
EDO29864	SINLEJ002944
EDO29864	SINLEJ005219
EDO29864	SINLEJ006547
EDO29864	SINLEJ017189
EDO29868	SINLEJ013105
EDO29869	SINLEJ015305
EDO29870	SINLEJ018045
EDO29870	SINLEJ018573
EDO29874	SINLEJ013736
EDO29879	SINLEJ011786
EDO29879	SINLEJ011785
EDO29879	SINLEJ019333
EDO29879	SINLEJ007916
EDO29880	SINLEJ017755
EDO29880	SINLEJ019322
EDO29880	SINLEJ019452
EDO29888	SINLEJ002880
EDO29891	SINLEJ003919
EDO29891	SINLEJ011943
EDO29893	SINLEJ004723
EDO29908	SINLEJ001812
EDO29908	SINLEJ008432
EDO29908	SINLEJ001810
EDO29908	SINLEJ001130
EDO29916	SINLEJ006100
EDO29923	SINLEJ005775
EDO29930	SINLEJ012079
EDO29930	SINLEJ000998
EDO29930	SINLEJ017395
EDO29932	SINLEJ001990
EDO29936	SINLEJ012758
EDO29936	SINLEJ012759
EDO29937	SINLEJ006367
EDO29937	SINLEJ006368
EDO29939	SINLEJ011313
EDO29940	SINLEJ016772
EDO29941	SINLEJ006369
EDO29942	SINLEJ004551
EDO29943	SINLEJ010552
EDO29943	SINLEJ006662
EDO29943	SINLEJ010553
EDO29952	SINLEJ006132
EDO29953	SINLEJ011698
EDO29954	SINLEJ600349
EDO29954	SINLEJ007634
EDO29962	SINLEJ013110
EDO29964	SINLEJ017394
EDO29978	SINLEJ012930
EDO29979	SINLEJ013792
EDO29986	SINLEJ019332
EDO29988	SINLEJ001961
EDO29989	SINLEJ008794
EDO29993	SINLEJ011156
EDO30000	SINLEJ005604
EDO30001	SINLEJ016464
EDO30007	SINLEJ013571
EDO30013	SINLEJ007386
EDO30013	SINLEJ003896
EDO30017	SINLEJ017071
EDO30023	SINLEJ009001
EDO30041	SINLEJ000199
EDO30041	SINLEJ000204
EDO30044	SINLEJ008149
EDO30047	SINLEJ014153
EDO30063	SINLEJ013964
EDO30063	SINLEJ010565
EDO30063	SINLEJ007271
EDO30063	SINLEJ007486
EDO30068	SINLEJ000497
EDO30084	SINLEJ008548
EDO30084	SINLEJ008549
EDO30087	SINLEJ005152
EDO30087	SINLEJ016208
EDO30091	SINLEJ600133
EDO30094	SINLEJ000122
EDO30112	SINLEJ018475
EDO30112	SINLEJ001256
EDO30117	SINLEJ600038
EDO30125	SINLEJ015313
EDO30125	SINLEJ018023
EDO30127	SINLEJ005423
EDO30130	SINLEJ010168
EDO30134	SINLEJ010132
EDO30135	SINLEJ016856
EDO30135	SINLEJ016857
EDO30135	SINLEJ015408
EDO30135	SINLEJ001212
EDO30137	SINLEJ010967
EDO30139	SINLEJ008211
EDO30139	SINLEJ015945
EDO30140	SINLEJ010477
EDO30140	SINLEJ001556
EDO30140	SINLEJ001555
EDO30140	SINLEJ010475
EDO30146	SINLEJ014354
EDO30147	SINLEJ009311
EDO30147	SINLEJ017530
EDO30147	SINLEJ016458
EDO30148	SINLEJ018056
EDO30150	SINLEJ009056
EDO30154	SINLEJ009119
EDO30154	SINLEJ008923
EDO30154	SINLEJ010210
EDO30154	SINLEJ012601
EDO30159	SINLEJ014995
EDO30160	SINLEJ004779
EDO30176	SINLEJ017873
EDO30183	SINLEJ007069
EDO30185	SINLEJ018432
EDO30185	SINLEJ013226
EDO30185	SINLEJ002707
EDO30185	SINLEJ019120
EDO30192	SINLEJ001809
EDO30193	SINLEJ019194
EDO30194	SINLEJ000067
EDO30200	SINLEJ010314
EDO30202	SINLEJ014061
EDO30203	SINLEJ006429
EDO30203	SINLEJ012697
EDO30203	SINLEJ012698
EDO30203	SINLEJ015025
EDO30208	SINLEJ015851
EDO30209	SINLEJ014049
EDO30215	SINLEJ017287
EDO30215	SINLEJ017282
EDO30215	SINLEJ004020
EDO30219	SINLEJ018099
EDO30220	SINLEJ000867
EDO30220	SINLEJ000868
EDO30220	SINLEJ004056
EDO30220	SINLEJ004055
EDO30223	SINLEJ004903
EDO30223	SINLEJ004902
EDO30224	SINLEJ012496
EDO30225	SINLEJ003887
EDO30228	SINLEJ011818
EDO30230	SINLEJ004059
